date,weighted_sentiment
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,0.0
2023-06-06,0.0694354772567749
2023-06-07,0.045480339974164966
2023-06-08,0.040620470792055136
2023-06-09,0.0048598691821098335
2023-06-10,-0.193667805492878
2023-06-11,-0.12407979667186737
2023-06-12,-0.07444787800312042
2023-06-13,-0.04963191866874696
2023-06-14,-0.04963191866874696
2023-06-15,0.049159669876098634
2023-06-16,0.030724793672561646
2023-06-17,0.018434876203536985
2023-06-18,0.012289917469024659
2023-06-19,0.012289917469024659
2023-06-20,0.0
2023-06-21,0.23641945838928224
2023-06-22,0.1477621614933014
2023-06-23,0.24724377989768984
2023-06-24,0.15822141647338867
2023-06-25,0.22686177253723144
2023-06-26,0.14732591450214386
2023-06-27,0.10525419533252717
2023-06-28,0.0420717191696167
2023-06-29,0.03707172751426697
2023-06-30,0.009999983310699463
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.039999866485595705
2023-07-06,0.06499938249588014
2023-07-07,0.039999616146087644
2023-07-08,0.02499976634979248
2023-07-09,0.01999983310699463
2023-07-10,0.009999866485595704
2023-07-11,0.03999997138977051
2023-07-12,0.024999982118606566
2023-07-13,0.014999989271163939
2023-07-14,0.009999992847442627
2023-07-15,0.009999992847442627
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.19991695880889893
2023-07-21,0.12494809925556183
2023-07-22,0.0749688595533371
2023-07-23,0.04997923970222473
2023-07-24,0.04997923970222473
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,-0.14700498580932617
2023-07-28,-0.09951628446578979
2023-07-29,-0.0599007248878479
2023-07-30,-0.13961515426635743
2023-07-31,-0.10116053521633148
2023-08-01,-0.039409390091896056
2023-08-02,0.2742614567279816
2023-08-03,0.1620384484529495
2023-08-04,0.11222300827503204
2023-08-05,0.22155267596244813
2023-08-06,0.1665261745452881
2023-08-07,0.055026501417160034
2023-08-08,0.03668433427810669
2023-08-09,0.03668433427810669
2023-08-10,0.0
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,0.0
2023-08-16,0.0
2023-08-17,0.0
2023-08-18,0.0
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.0
2023-08-25,0.014031579494476318
2023-08-26,0.008679305016994475
2023-08-27,0.0052053222060203545
2023-08-28,0.003473982810974121
2023-08-29,0.0034852868318557737
2023-08-30,-0.016927210092544557
2023-08-31,-0.010565376281738282
2023-09-01,-0.006339225769042969
2023-09-02,-0.004226150512695313
2023-09-03,-0.004226150512695313
2023-09-04,0.0
2023-09-05,0.035762596130371097
2023-09-06,0.022351622581481934
2023-09-07,0.01341097354888916
2023-09-08,0.008940649032592774
2023-09-09,0.008940649032592774
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,-0.0914757251739502
2023-09-17,-0.05717232823371887
2023-09-18,-0.03430339694023132
2023-09-19,-0.02286893129348755
2023-09-20,-0.02286893129348755
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,0.0
2023-09-26,0.0048531293869018555
2023-09-27,0.0030332058668136597
2023-09-28,0.0018199235200881958
2023-09-29,0.0012132823467254639
2023-09-30,0.0012132823467254639
2023-10-01,0.0
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,0.0990981936454773
2023-10-05,0.06193637102842331
2023-10-06,0.03716182261705398
2023-10-07,0.0030912989377975437
2023-10-08,0.011222517490386963
2023-10-09,-0.008131218552589416
2023-10-10,-0.005420812368392945
2023-10-11,-0.005420812368392945
2023-10-12,0.0
2023-10-13,0.0
2023-10-14,0.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,-1.5206336975097657e-05
2023-10-30,0.03152259528636933
2023-10-31,0.019701859652996066
2023-11-01,0.01182073563337326
2023-11-02,0.007879223227500917
2023-11-03,0.046031084656715404
2023-11-04,0.12946490585803985
2023-11-05,0.08031950272619724
2023-11-06,0.04914540313184261
2023-11-07,0.03594260707497597
2023-11-08,0.026405592113733292
2023-11-09,0.0
2023-11-10,0.039976062774658205
2023-11-11,0.02498503923416138
2023-11-12,0.014991023540496827
2023-11-13,0.009994015693664551
2023-11-14,0.009994015693664551
2023-11-15,0.0
2023-11-16,0.01999990463256836
2023-11-17,0.012499940395355225
2023-11-18,0.007499964237213135
2023-11-19,0.00499997615814209
2023-11-20,-0.11026610374450685
2023-11-21,-0.07204129993915558
2023-11-22,-0.043224779963493346
2023-11-23,-0.028816519975662237
2023-11-24,-0.028816519975662237
2023-11-25,0.07999931335449219
2023-11-26,0.049999570846557616
2023-11-27,0.02999974250793457
2023-11-28,0.019999828338623047
2023-11-29,-0.1123736834526062
2023-11-30,-0.08273344486951828
2023-12-01,-0.020254781544208525
2023-12-02,-0.014727574586868289
2023-12-03,-0.15891271829605103
2023-12-04,-0.07817794263362884
2023-12-05,-0.04396823704242706
2023-12-06,-0.03420970559120178
2023-12-07,-0.12104247212409974
2023-12-08,-0.05427047908306122
